Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
1993 ,268099 ,ALMOND HULLS ,7 ,Butte ,  ,  ,28398 ,60 ,TONS ,1704000
1993 ,268099 ,ALMOND HULLS ,11 ,Colusa ,  ,  ,12990 ,50 ,TONS ,650000
1993 ,268099 ,ALMOND HULLS ,19 ,Fresno ,  ,  ,27200 ,60 ,TONS ,1632000
1993 ,268099 ,ALMOND HULLS ,21 ,Glenn ,  ,  ,10646 ,55 ,TONS ,586000
1993 ,268099 ,ALMOND HULLS ,29 ,Kern ,  ,  ,110000 ,77 ,TONS ,8442000
1993 ,268099 ,ALMOND HULLS ,31 ,Kings ,  ,  ,1740 ,62 ,TONS ,108000
1993 ,268099 ,ALMOND HULLS ,39 ,Madera ,  ,  ,57980 ,65 ,TONS ,3769000
1993 ,268099 ,ALMOND HULLS ,47 ,Merced ,  ,  ,97900 ,68 ,TONS ,6618000
1993 ,268099 ,ALMOND HULLS ,77 ,San Joaquin ,  ,  ,60500 ,75 ,TONS ,4538000
1993 ,268099 ,ALMOND HULLS ,95 ,Solano ,  ,  ,608 ,40 ,TONS ,24300
1993 ,268099 ,ALMOND HULLS ,99 ,Stanislaus ,  ,  ,99400 ,60 ,TON ,5964000
1993 ,268099 ,ALMOND HULLS ,101 ,Sutter ,  ,  ,615 ,56 ,TONS ,34700
1993 ,268099 ,ALMOND HULLS ,107 ,Tulare ,  ,  ,18200 ,65 ,TONS ,1183000
1993 ,268099 ,ALMOND HULLS ,115 ,Yuba ,  ,  ,1107 ,52 ,TONS ,57600
1993 ,268099 ,ALMOND HULLS , 999, State Totals,0 ,  ,527284 ,67 ,    ,35310600
1993 ,261999 ,ALMONDS ALL ,7 ,Butte ,36061 ,0.63 ,22718 ,3460 ,TONS ,78606000
1993 ,261999 ,ALMONDS ALL ,9 ,Calaveras ,31 ,0.58 ,18 ,300 ,TONS ,5400
1993 ,261999 ,ALMONDS ALL ,11 ,Colusa ,17500 ,0.55 ,9625 ,3700 ,TONS ,35613000
1993 ,261999 ,ALMONDS ALL ,19 ,Fresno ,36503 ,0.65 ,23700 ,3840 ,TONS ,91008000
1993 ,261999 ,ALMONDS ALL ,21 ,Glenn ,16700 ,0.51 ,8517 ,3984 ,TONS ,33932000
1993 ,261999 ,ALMONDS ALL ,29 ,Kern ,71574 ,0.69 ,49400 ,3859 ,TONS ,190630000
1993 ,261999 ,ALMONDS ALL ,31 ,Kings ,1907 ,0.72 ,1373 ,3284 ,TONS ,4509000
1993 ,261999 ,ALMONDS ALL ,39 ,Madera ,39176 ,0.74 ,28990 ,3740 ,TONS ,108423000
1993 ,261999 ,ALMONDS ALL ,47 ,Merced ,66519 ,0.70 ,46600 ,3761 ,TONS ,175263000
1993 ,261999 ,ALMONDS ALL ,67 ,Sacramento ,170 ,0.50 ,85 ,3600 ,TONS ,306000
1993 ,261999 ,ALMONDS ALL ,77 ,San Joaquin ,36100 ,0.67 ,24200 ,3720 ,TONS ,90024000
1993 ,261999 ,ALMONDS ALL ,79 ,San Luis Obispo ,2400 ,0.02 ,36 ,4583 ,TONS ,165000
1993 ,261999 ,ALMONDS ALL ,95 ,Solano ,1430 ,0.34 ,486 ,3334 ,TONS ,1620500
1993 ,261999 ,ALMONDS ALL ,99 ,Stanislaus ,70000 ,0.71 ,49700 ,3840 ,TON ,190848000
