Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value
2005 ,268099 ,ALMOND HULLS ,7 ,Butte ,  ,  ,42589 ,83.99 ,TONS ,3577000
2005 ,268099 ,ALMOND HULLS ,11 ,Colusa ,  ,  ,27720 ,75.00 ,TONS ,2079000
2005 ,268099 ,ALMOND HULLS ,19 ,Fresno ,  ,  ,161000 ,100.00 ,TONS ,16100000
2005 ,268099 ,ALMOND HULLS ,21 ,Glenn ,  ,  ,27301 ,75.02 ,TONS ,2048000
2005 ,268099 ,ALMOND HULLS ,29 ,Kern ,  ,  ,223300 ,93.09 ,TONS ,20786000
2005 ,268099 ,ALMOND HULLS ,31 ,Kings ,  ,  ,5379 ,94.44 ,TONS ,508000
2005 ,268099 ,ALMOND HULLS ,39 ,Madera ,  ,  ,88339 ,91.00 ,TONS ,8039000
2005 ,268099 ,ALMOND HULLS ,47 ,Merced ,  ,  ,105633 ,97.10 ,TONS ,10257000
2005 ,268099 ,ALMOND HULLS ,77 ,San Joaquin ,  ,  ,77400 ,94.81 ,TONS ,7338000
2005 ,268099 ,ALMOND HULLS ,99 ,Stanislaus ,  ,  ,109300 ,94.80 ,TONS ,10362000
2005 ,268099 ,ALMOND HULLS ,101 ,Sutter ,  ,  ,496 ,85.08 ,TONS ,42200
2005 ,268099 ,ALMOND HULLS ,107 ,Tulare ,  ,  ,32000 ,99.00 ,TONS ,3168000
2005 ,268099 ,ALMOND HULLS ,115 ,Yuba ,  ,  ,946 ,80.34 ,TONS ,76000
2005 ,268099 ,ALMOND HULLS ,991 ,Sum of Others ,  ,  ,49838 ,32.73 ,TONS ,1631080
2005 ,268099 ,ALMOND HULLS , 999, State Totals,0 ,  ,951241 ,90.42 ,    ,86011280
2005 ,261999 ,ALMONDS ALL ,7 ,Butte ,40084 ,0.85 ,34071 ,5500.01 ,TONS ,187391000
2005 ,261999 ,ALMONDS ALL ,11 ,Colusa ,26400 ,0.84 ,22176 ,5500.00 ,TONS ,121968000
2005 ,261999 ,ALMONDS ALL ,19 ,Fresno ,88400 ,0.90 ,79600 ,5700.00 ,TONS ,453720000
2005 ,261999 ,ALMONDS ALL ,21 ,Glenn ,28001 ,0.78 ,21841 ,6160.02 ,TONS ,134541000
2005 ,261999 ,ALMONDS ALL ,29 ,Kern ,93500 ,1.06 ,99300 ,5776.35 ,TONS ,573592000
2005 ,261999 ,ALMONDS ALL ,31 ,Kings ,9275 ,0.57 ,5287 ,5400.04 ,TONS ,28550000
2005 ,261999 ,ALMONDS ALL ,39 ,Madera ,57400 ,0.81 ,46494 ,5615.00 ,TONS ,261064000
2005 ,261999 ,ALMONDS ALL ,47 ,Merced ,87123 ,0.59 ,51403 ,5699.96 ,TONS ,292995000
2005 ,261999 ,ALMONDS ALL ,77 ,San Joaquin ,43000 ,0.72 ,30900 ,5390.94 ,TONS ,166580000
2005 ,261999 ,ALMONDS ALL ,95 ,Solano ,2066 ,0.47 ,979 ,5375.28 ,TONS ,5262400
2005 ,261999 ,ALMONDS ALL ,99 ,Stanislaus ,97300 ,0.84 ,81700 ,5790.00 ,TONS ,473043000
2005 ,261999 ,ALMONDS ALL ,101 ,Sutter ,3892 ,0.51 ,1985 ,6050.08 ,TONS ,12009400
2005 ,261999 ,ALMONDS ALL ,103 ,Tehama ,7426 ,0.80 ,5940 ,5650.00 ,TONS ,33561000
2005 ,261999 ,ALMONDS ALL ,107 ,Tulare ,17133 ,0.95 ,16300 ,5380.00 ,TONS ,87694000
2005 ,261999 ,ALMONDS ALL ,113 ,Yolo ,9149 ,0.62 ,5673 ,5460.25 ,TONS ,30976000
2005 ,261999 ,ALMONDS ALL ,115 ,Yuba ,1069 ,0.59 ,631 ,6196.51 ,TONS ,3910000
2005 ,261999 ,ALMONDS ALL ,991 ,Sum of Others ,505 ,  ,  ,  ,TONS ,2294910
2005 ,261999 ,ALMONDS ALL , 999, State Totals,611723 ,0.83 ,504280 ,5685.05 ,    ,2869151710
2005 ,333999 ,ANISE (FENNEL) ,53 ,Monterey ,608 ,15.13 ,9200 ,544.89 ,TONS ,5013000
2005 ,333999 ,ANISE (FENNEL) ,991 ,Sum of Others ,135 ,3.00 ,405 ,2159.65 ,TONS ,874660
2005 ,333999 ,ANISE (FENNEL) , 999, State Totals,743 ,12.93 ,9605 ,612.98 ,    ,5887660
2005 ,484999 ,APIARY PRODUCTS BEES NUCLEI ,89 ,Shasta ,  ,  ,3250 ,43.66 ,EACH ,141900
2005 ,484999 ,APIARY PRODUCTS BEES NUCLEI , 999, State Totals,0 ,  ,3250 ,43.66 ,    ,141900
2005 ,483999 ,APIARY PRODUCTS BEES PCKG. ,11 ,Colusa ,  ,  ,6000 ,9.00 ,LBS ,54000
2005 ,483999 ,APIARY PRODUCTS BEES PCKG. ,21 ,Glenn ,  ,  ,116000 ,11.25 ,LBS ,1305000
2005 ,483999 ,APIARY PRODUCTS BEES PCKG. ,47 ,Merced ,  ,  ,69400 ,10.30 ,LBS ,715000
2005 ,483999 ,APIARY PRODUCTS BEES PCKG. ,89 ,Shasta ,  ,  ,40400 ,10.47 ,LBS ,423000
2005 ,483999 ,APIARY PRODUCTS BEES PCKG. ,99 ,Stanislaus ,  ,  ,1100 ,10.00 ,LBS ,11000
2005 ,483999 ,APIARY PRODUCTS BEES PCKG. ,991 ,Sum of Others ,  ,  ,  ,  ,  ,281750
2005 ,483999 ,APIARY PRODUCTS BEES PCKG. , 999, State Totals,0 ,  ,232900 ,10.77 ,    ,2789750
2005 ,485999 ,APIARY PRODUCTS BEES QUEEN ,11 ,Colusa ,  ,  ,26000 ,10.00 ,EACH ,260000
2005 ,485999 ,APIARY PRODUCTS BEES QUEEN ,21 ,Glenn ,  ,  ,132000 ,12.50 ,EACH ,1650000
2005 ,485999 ,APIARY PRODUCTS BEES QUEEN ,47 ,Merced ,  ,  ,28300 ,11.10 ,EACH ,314000
2005 ,485999 ,APIARY PRODUCTS BEES QUEEN ,73 ,San Diego ,  ,  ,  ,  ,  ,273100
2005 ,485999 ,APIARY PRODUCTS BEES QUEEN ,89 ,Shasta ,  ,  ,97000 ,10.56 ,EACH ,1024300
2005 ,485999 ,APIARY PRODUCTS BEES QUEEN ,99 ,Stanislaus ,  ,  ,8000 ,9.50 ,EACH ,76000
2005 ,485999 ,APIARY PRODUCTS BEES QUEEN ,991 ,Sum of Others ,  ,  ,47575 ,14.00 ,EACH ,666050
2005 ,485999 ,APIARY PRODUCTS BEES QUEEN , 999, State Totals,0 ,  ,338875 ,11.78 ,    ,4263450
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,7 ,Butte ,  ,  ,  ,  ,  ,842000
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,9 ,Calaveras ,  ,  ,  ,  ,  ,22000
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,17 ,El Dorado ,  ,  ,  ,  ,  ,57000
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,29 ,Kern ,  ,  ,  ,  ,  ,220000
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,37 ,Los Angeles ,  ,  ,  ,  ,  ,95000
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,43 ,Mariposa ,  ,  ,  ,  ,  ,36100
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,59 ,Orange ,  ,  ,  ,  ,  ,6300
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,61 ,Placer ,  ,  ,  ,  ,  ,118000
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,67 ,Sacramento ,  ,  ,  ,  ,  ,35000
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,89 ,Shasta ,  ,  ,  ,  ,  ,21500
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,95 ,Solano ,  ,  ,  ,  ,  ,314000
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,97 ,Sonoma ,  ,  ,  ,  ,  ,130800
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,103 ,Tehama ,  ,  ,  ,  ,  ,1745000
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,109 ,Tuolumne ,  ,  ,  ,  ,  ,420000
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,113 ,Yolo ,  ,  ,  ,  ,  ,2575000
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,115 ,Yuba ,  ,  ,  ,  ,  ,55000
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC ,991 ,Sum of Others ,  ,  ,  ,  ,  ,626940
2005 ,489999 ,APIARY PRODUCTS BEES UNSPEC , 999, State Totals,0 ,  ,0 ,  ,    ,7319640
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,13 ,Contra Costa ,  ,  ,180 ,3.89 ,LBS ,700
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,19 ,Fresno ,  ,  ,61900 ,1.36 ,LBS ,84200
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,21 ,Glenn ,  ,  ,  ,  ,LBS , 
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,25 ,Imperial ,  ,  ,28638 ,1.22 ,LBS ,35000
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,29 ,Kern ,  ,  ,627000 ,1.68 ,LBS ,1053000
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,31 ,Kings ,  ,  ,36830 ,1.12 ,LBS ,41200
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,37 ,Los Angeles ,  ,  ,14141 ,1.56 ,LBS ,22000
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,39 ,Madera ,  ,  ,8400 ,1.43 ,LBS ,12000
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,47 ,Merced ,  ,  ,65385 ,1.74 ,LBS ,114000
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,53 ,Monterey ,  ,  ,1000 ,1.40 ,LBS ,1400
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,65 ,Riverside ,  ,  ,35600 ,1.47 ,LBS ,52300
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,73 ,San Diego ,  ,  ,  ,  ,  ,65300
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,77 ,San Joaquin ,  ,  ,  ,  ,  ,3500
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,81 ,San Mateo ,  ,  ,450 ,4.44 ,LBS ,2000
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,99 ,Stanislaus ,  ,  ,4800 ,1.62 ,LBS ,7780
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,107 ,Tulare ,  ,  ,100000 ,2.08 ,LBS ,208000
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,111 ,Ventura ,  ,  ,12687 ,1.50 ,LBS ,19000
2005 ,482999 ,APIARY PRODUCTS BEESWAX ,991 ,Sum of Others ,  ,  ,14928 ,32.14 ,LBS ,479750
2005 ,482999 ,APIARY PRODUCTS BEESWAX , 999, State Totals,0 ,  ,1011939 ,2.11 ,    ,2201130
2005 ,481999 ,APIARY PRODUCTS HONEY ,11 ,Colusa ,  ,  ,25000 ,0.72 ,LBS ,18000
2005 ,481999 ,APIARY PRODUCTS HONEY ,13 ,Contra Costa ,  ,  ,40000 ,4.00 ,LBS ,160000
2005 ,481999 ,APIARY PRODUCTS HONEY ,19 ,Fresno ,  ,  ,2748000 ,0.83 ,LBS ,2281000
2005 ,481999 ,APIARY PRODUCTS HONEY ,21 ,Glenn ,  ,  ,  ,  ,LBS , 
2005 ,481999 ,APIARY PRODUCTS HONEY ,25 ,Imperial ,  ,  ,696287 ,0.65 ,LBS ,453000
2005 ,481999 ,APIARY PRODUCTS HONEY ,27 ,Inyo ,  ,  ,500000 ,1.05 ,LBS ,525000
2005 ,481999 ,APIARY PRODUCTS HONEY ,29 ,Kern ,  ,  ,5016000 ,0.84 ,LBS ,4213000
2005 ,481999 ,APIARY PRODUCTS HONEY ,31 ,Kings ,  ,  ,502690 ,0.71 ,LBS ,357000
2005 ,481999 ,APIARY PRODUCTS HONEY ,37 ,Los Angeles ,  ,  ,1349760 ,0.82 ,LBS ,1106000
2005 ,481999 ,APIARY PRODUCTS HONEY ,39 ,Madera ,  ,  ,567000 ,0.72 ,LBS ,408000
2005 ,481999 ,APIARY PRODUCTS HONEY ,43 ,Mariposa ,  ,  ,132000 ,0.84 ,LBS ,111000
2005 ,481999 ,APIARY PRODUCTS HONEY ,47 ,Merced ,  ,  ,4250000 ,0.63 ,LBS ,2678000
